"nstorm","worry","nevac","prepared","homeloc","nyear","gender","income","politics","age","zone","lat","long"
2,3,0,3,2,86,1,4,3,86,"A",41.26324,-72.842965
1,4,0,3,3,25,1,NA,NA,52,"A",41.3106099999999,-72.0988239999999
3,4,0,3,3,19,2,6,2,83,"A",41.2652349999999,-72.8252329999999
3,6,1,1,1,52,1,5,3,64,"A",41.154187,-73.1134179999999
2,1,0,2,3,15,1,5,3,66,"A",41.2694419999999,-72.8922469999999
5,4,0,2,1,23,2,NA,3,76,"A",41.271396,-72.5909359999999
3,6,1,3,3,36,2,NA,3,37,"A",41.262037,-72.866106
5,4,0,3,3,50,2,NA,3,50,"A",41.151676,-73.2278529999999
1,3,0,3,3,4,1,3,1,38,"A",41.097606,-73.401936
2,6,0,2,2,17,2,6,2,50,"A",41.09104,-73.4129599999999
2,7,2,1,2,50,2,NA,3,77,"A",41.2784669999999,-72.409665
3,5,0,2,3,70,1,4,4,71,"A",41.250827,-72.869213
2,7,0,2,1,24,2,5,2,60,"A",41.252138,-72.875095
2,5,0,2,2,18,2,5,2,55,"A",41.263249,-72.843136
4,1,NA,2,1,17,2,6,2,78,"A",41.118521,-73.262427
1,3,1,3,2,2,1,6,4,51,"A",41.026718,-73.565226
2,3,1,2,1,64,2,5,3,64,"A",41.333562,-71.951395
4,6,0,3,3,40,NA,NA,NA,NA,"A",41.262987,-72.74764
0,4,0,2,1,35,1,5,3,73,"A",41.29592,-72.2587029999999
3,6,0,2,1,12,1,5,4,64,"A",41.216808,-73.021191
2,6,2,4,3,24,1,4,4,55,"A",41.2732639999999,-72.671783
6,7,2,3,1,50,2,2,3,71,"A",41.284367,-72.389576
3,2,0,3,3,14,1,4,3,72,"A",41.274535,-72.534316
3,1,1,1,3,90,2,1,4,90,"A",41.257162,-72.951362
3,4,0,1,2,75,1,NA,4,75,"A",41.272302,-72.8714899999999
1,1,0,2,3,46,1,3,3,48,"A",41.2586689999999,-72.951603
2,1,0,1,3,14,1,2,1,75,"A",41.247199,-72.877499
2,4,0,4,3,30,2,5,2,60,"A",41.305779,-72.124024
2,7,1,1,1,5,2,1,3,61,"A",41.1481039999999,-73.363262
2,5,0,3,3,22,1,6,3,67,"A",41.111747,-73.378189
2,1,0,1,1,30,2,2,1,59,"A",41.2487569999999,-72.874609
5,2,1,5,1,28,2,3,3,27,"A",41.449027,-72.09998
2,7,2,3,1,38,2,4,2,62,"A",41.262933,-72.892012
2,5,1,2,1,27,2,2,3,65,"A",41.258406,-72.891011
3,3,1,5,3,10,2,3,3,55,"A",41.180577,-73.1369899999999
4,5,1,2,1,32,2,NA,NA,67,"A",41.267229,-72.374857
2,4,0,2,3,13,2,6,4,45,"A",41.2738609999999,-72.574894
5,6,1,3,1,59,1,4,3,59,"A",41.1496089999999,-73.133679
2,6,0,4,3,50,1,1,4,79,"A",41.0590359999999,-73.546153
5,5,2,3,2,76,2,2,3,76,"A",41.2227269999999,-73.0454119999999
3,3,1,2,3,41,2,4,4,51,"A",41.15008,-73.126846
1,3,0,3,3,50,1,3,4,86,"A",41.233457,-72.995086
8,5,0,3,3,1,2,3,2,48,"A",41.103296,-73.41681
2,6,2,3,1,21,2,1,2,53,"A",41.098601,-73.373524
2,5,0,2,3,16,1,6,3,56,"A",41.3184779999999,-72.09099
3,7,2,3,3,13,2,6,2,67,"A",41.3118399999999,-72.8889
2,5,0,2,3,42,2,2,3,77,"A",41.2651389999999,-72.865395
2,4,0,3,3,25,2,4,4,48,"A",41.185923,-73.101104
2,4,0,3,1,16,1,NA,4,69,"A",41.251094,-72.8598429999999
2,4,2,3,1,22,2,5,3,59,"A",41.2236639999999,-73.0028839999999
2,3,0,3,3,7,1,6,3,33,"A",41.0354219999999,-73.5272949999999
2,5,0,2,3,7,2,6,4,43,"A",41.2649139999999,-72.75011
5,3,1,3,1,40,1,6,3,74,"A",41.130519,-73.2905999999999
2,6,2,3,1,7,2,4,3,43,"A",41.260821,-72.793901
2,7,0,2,1,5,2,6,3,60,"A",41.071783,-73.445812
1,4,0,4,3,6,2,2,3,76,"A",41.368984,-72.857692
2,7,0,3,2,65,2,2,1,65,"A",41.285265,-72.9514609999999
2,4,0,3,2,22,2,4,3,64,"A",41.210441,-73.023959
3,6,0,3,1,60,2,3,3,69,"A",41.1539319999999,-73.219998
1,2,0,3,2,14,1,1,4,72,"A",41.2504539999999,-72.871144
